t; gX; gY; gZ
0; -95; 11; 19
1; -79; 13; 16
2; -88; 18; 11
3; -86; 14; 18
4; -89; 14; 17
5; -87; 9; 13
6; -87; 14; 17
7; -82; 12; 11
8; -86; 19; 18
9; -79; 10; 20
10; -82; 12; 14
11; -91; 18; 13
12; -85; 23; 15
13; -84; 13; 15
14; -84; 9; 22
15; -84; 9; 21
16; -90; 15; 17
17; -85; 13; 11
18; -85; 24; 18
19; -86; 12; 13
20; -83; 14; 14
21; -87; 13; 13
22; -85; 19; 17
23; -87; 18; 14
24; -85; 15; 15
25; -88; 8; 17
26; -85; 10; 10
27; -86; 18; 15
28; -80; 16; 19
29; -85; 16; 16
30; -79; 7; 12
31; -91; 11; 15
32; -88; 13; 10
33; -87; 12; 12
34; -90; 14; 17
35; -89; 11; 10
36; -83; 17; 19
37; -86; 14; 21
38; -86; 16; 13
39; -86; 10; 12
40; -82; 15; 21
41; -82; 13; 10
42; -76; 23; 14
43; -88; 14; 14
44; -86; 12; 16
45; -86; 15; 16
46; -82; 19; 9
47; -85; 10; 19
48; -81; 15; 15
49; -83; 11; 11
50; -84; 15; 14
51; -87; 19; 13
52; -91; 15; 14
53; -83; 16; 18
54; -89; 10; 15
55; -81; 18; 14
56; -86; 9; 23
57; -88; 18; 10
58; -87; 16; 11
59; -90; 10; 16
60; -87; 18; 19
61; -86; 16; 15
62; -88; 15; 15
63; -85; 16; 13
64; -86; 21; 17
65; -82; 13; 15
66; -89; 17; 13
67; -85; 17; 15
68; -81; 18; 14
69; -87; 8; 12
70; -81; 9; 18
71; -88; 12; 11
72; -86; 18; 14
73; -86; 16; 13
74; -87; 11; 11
75; -84; 15; 19
76; -82; 14; 16
77; -85; 13; 13
78; -91; 16; 16
79; -89; 12; 13
80; -81; 21; 19
81; -78; 5; 19
82; -79; 15; 16
83; -86; 11; 14
84; -82; 13; 14
85; -82; 12; 14
86; -87; 6; 16
87; -88; 12; 14
88; -86; 7; 13
89; -89; 22; 19
90; -85; 14; 16
91; -86; 13; 11
92; -85; 17; 18
93; -85; 5; 18
94; -83; 14; 17
95; -92; 14; 16
96; -88; 11; 17
97; -80; 19; 16
98; -81; 16; 12
99; -83; 12; 21
100; -84; 16; 13
101; -82; 11; 15
102; -83; 19; 18
103; -86; 18; 14
104; -85; 9; 13
105; -86; 5; 13
106; -90; 13; 19
107; -86; 16; 15
108; -81; 16; 13
109; -84; 8; 15
110; -85; 12; 15
111; -90; 17; 15
112; -87; 13; 20
113; -83; 22; 15
114; -88; 12; 18
115; -85; 19; 14
116; -87; 13; 16
117; -87; 15; 14
118; -92; 14; 18
119; -86; 9; 11
120; -84; 19; 12
121; -88; 12; 21
122; -88; 16; 14
123; -87; 9; 17
124; -82; 12; 16
125; -82; 10; 17
126; -63; 34; 18
127; 0; -367; 32
128; -21; -1975; 86
129; -45; -3129; 198
130; -72; -4738; -77
131; -116; -5572; -77
132; -71; -4634; -10
133; -54; -3513; -40
134; -73; -2997; -5
135; -81; -1571; 3
136; -89; 43; 17
137; -93; -22; 3
138; -79; -767; 7
139; -84; -675; 27
140; -85; 295; 53
141; -92; 41; 6
142; -91; -25; 19
143; -81; 67; 13
144; -91; -44; 17
145; -85; 40; 13
146; -87; 10; 14
147; -86; -5; 16
148; -82; 23; 15
149; -92; 11; 18
150; -82; -14; 13
151; -85; 18; 14
152; -88; 28; 14
153; -81; 10; 16
154; -86; 0; 16
155; -84; 6; 25
156; -90; 3; 15
157; -87; 20; 13
158; -87; 11; 13
159; -87; 14; 13
160; -83; 6; 12
161; -82; 8; 20
162; -86; 13; 17
163; -89; 18; 19
164; -88; 15; 17
165; -87; 20; 18
166; -81; 17; 13
167; -90; 8; 14
168; -86; 13; 11
169; -88; 18; 17
170; -87; 17; 12
171; -84; 5; 11
172; -88; 12; 14
173; -86; 5; 22
174; -85; 11; 14
175; -84; 15; 21
176; -86; 10; 13
177; -85; 1; 13
178; -82; 4; 14
179; -80; 5; 16
180; -88; 14; 17
181; -82; 10; 11
182; -89; 16; 10
183; -89; 15; 19
184; -83; 16; 21
185; -87; 10; 18
186; -80; 12; 12
187; -86; 10; 13
188; -88; 18; 18
189; -88; 20; 16
190; -82; 18; 19
191; -85; 11; 17
192; -83; 16; 16
193; -87; 14; 8
194; -81; 7; 13
195; -89; 17; 17
196; -86; 14; 21
197; -83; 19; 16
198; -86; 19; 16
199; -83; 16; 19
200; -88; 2; 14
201; -86; 12; 15
202; -83; 15; 13
203; -83; 15; 9
204; -91; 10; 19
205; -84; 25; 19
206; -91; 20; 12
207; -86; 19; 19
208; -92; 23; 16
209; -86; 17; 14
210; -90; 11; 14
211; -80; 10; 12
212; -84; 6; 16
213; -98; 1552; 25
214; -110; 2455; 48
215; -126; 6303; 78
216; -285; 20838; 322
217; -356; 780; 37
218; -77; -36; 12
219; -83; 18; 17
220; -86; 10; 10
221; -86; 6; 16
222; -89; 5; 16
223; -85; 20; 15
224; -88; 7; 11
225; -86; 15; 18
226; -88; 16; 15
227; -82; 17; 16
228; -81; 11; 12
229; -82; 10; 12
230; -89; 12; 12
231; -80; 9; 21
232; -81; 11; 13
233; -86; 12; 16
234; -83; 11; 14
235; -88; 11; 15
236; -85; 10; 12
237; -90; 10; 12
238; -83; 15; 15
239; -85; 15; 19
240; -89; 15; 13
241; -77; 12; 16
242; -89; 14; 22
243; -91; 13; 14
244; -85; 13; 18
245; -91; 15; 12
246; -86; 19; 19
247; -81; 14; 17
248; -87; 18; 16
249; -87; 13; 16
250; -83; 13; 19
251; -85; 11; 11
252; -79; 10; 11
253; -81; 15; 16
254; -86; 19; 19
255; -85; 16; 14
256; -88; 14; 9
257; -85; 14; 19
258; -80; 11; 9
259; -84; 13; 15
260; -84; 13; 14
261; -88; 10; 12
262; -84; 9; 15
263; -90; 16; 12
264; -91; 17; 14
265; -89; 18; 17
266; -75; 17; 10
267; -85; 16; 14
268; -87; 19; 19
269; -91; 20; 11
270; -92; 13; 14
271; -87; 12; 19
272; -87; 13; 15
273; -86; 19; 12
274; -89; 19; 21
275; -83; 14; 16
276; -87; 18; 15
277; -83; 20; 20
278; -91; 16; 18
279; -83; 8; 18
280; -88; 19; 13
281; -91; 9; 14
282; -87; 6; 17
283; -83; 9; 13
284; -80; 15; 21
285; -82; 13; 16
286; -82; 11; 18
287; -93; 13; 13
288; -90; 16; 8
289; -90; 11; 15
290; -88; 14; 16
291; -83; 12; 9
292; -87; 15; 14
293; -89; 12; 15
294; -92; 15; 16
295; -87; 13; 14
296; -93; 10; 17
297; -86; 14; 15
298; -90; 16; 14
299; -87; 12; 14
300; -86; 13; 13
301; -83; 7; 20
302; -49; -27; 16
303; 2; -179; 27
304; -26; -345; 28
305; -57; -801; 6
306; -67; -1050; 11
307; -66; -1580; -9
308; -73; -1851; -16
309; -87; -1820; -11
310; -78; -1634; -9
311; -84; -1472; 0
312; -90; -1788; -3
313; -75; -2056; -14
314; -108; -2134; -7
315; -95; -1835; 8
316; -81; -1853; 4
317; -71; -1616; -8
318; -65; -2459; -15
319; -61; -2622; -36
320; -66; -3517; -26
321; -90; 196; -57
322; -91; 1728; 3
323; -122; 2840; 51
324; -103; 2648; 61
325; -125; 2339; 48
326; -124; 1861; 44
327; -114; 1731; 31
328; -95; 1794; 38
329; -87; 2034; 45
330; -81; 1891; 33
331; -87; 1927; 35
332; -102; 1707; 32
333; -91; 1642; 32
334; -73; 1738; 120
335; -97; 1989; 41
336; -108; 1645; 31
337; -105; 619; 20
338; -113; 346; 16
339; -56; -932; 8
340; -55; -2448; -22
341; -64; -2611; -19
342; -63; -2674; -25
343; -64; -2568; -15
344; -69; -2089; -9
345; -69; -1439; -2
346; -76; -1655; -7
347; -71; -1943; -7
348; -73; -1422; -5
349; -73; -1379; -12
350; -75; -1899; -25
351; -72; -1810; -7
352; -63; -3013; -18
353; -110; 1584; 33
354; -124; 3433; 61
355; -157; 4393; 78
356; -103; 2896; 50
357; -91; 1641; 32
358; -100; 1229; 33
359; -100; 1452; 37
360; -95; 1600; 37
361; -100; 1561; 36
362; -99; 1926; 40
363; -102; 1856; 36
364; -102; 2142; 38
365; -90; 2305; 43
366; -111; 619; 18
367; -77; 48; 16
368; -109; -41; 14
369; -159; 324; -5
370; -100; 27; 16
371; -85; 15; 21
372; -87; 19; 13
373; -91; 14; 12
374; -82; 11; 12
375; -85; 20; 17
376; -85; 17; 13
377; -87; 14; 17
378; -88; 14; 18
379; -85; 12; 8
380; -75; 7; 16
381; -85; 22; 13
382; -87; 19; 14
383; -86; 15; 10
384; -86; 12; 10
385; -88; 12; 14
386; -89; 13; 20
387; -91; 13; 14
388; -92; 12; 16
389; -88; 12; 23
390; -87; 6; 14
391; -88; 15; 17
392; -86; 12; 19
393; -87; 16; 17
394; -83; 21; 13
395; -85; 15; 16
396; -86; 16; 14
397; -84; 15; 17
398; -85; 15; 16
399; -89; 9; 8
400; -87; 10; 16
401; -89; 12; 16
402; -81; 22; 16
403; -90; 6; 14
404; -87; 12; 14
405; -81; -41; 16
406; -85; -24; 15
407; -80; 9; 14
408; -88; 21; 9
409; -91; 42; 15
410; -92; -13; 19
