t; gX; gY; gZ
0; -92; 33; 17
1; -92; 16; 14
2; -83; 15; 20
3; -82; 17; 11
4; -89; 19; 16
5; -90; 11; 11
6; -87; 13; 16
7; -85; 20; 15
8; -84; 16; 16
9; -86; 15; 9
10; -88; 15; 11
11; -86; 11; 23
12; -88; 20; 21
13; -88; 16; 15
14; -85; 8; 18
15; -87; 17; 14
16; -87; 14; 17
17; -90; 17; 15
18; -88; 20; 19
19; -87; 18; 18
20; -86; 17; 13
21; -89; 15; 14
22; -94; 5; 13
23; -87; 15; 14
24; -85; 17; 15
25; -86; 12; 13
26; -85; 14; 14
27; -88; 14; 11
28; -88; 10; 15
29; -87; 17; 15
30; -83; 16; 14
31; -89; 13; 16
32; -89; 20; 20
33; -87; 21; 14
34; -86; 13; 11
35; -86; 11; 16
36; -87; 19; 12
37; -84; 2; 14
38; -93; 16; 18
39; -90; 5; 16
40; -77; 11; 12
41; -80; 13; 16
42; -89; 10; 14
43; -88; 16; 14
44; -89; 17; 15
45; -86; 12; 11
46; -90; 19; 13
47; -87; 16; 18
48; -86; 14; 12
49; -80; 17; 10
50; -85; 13; 13
51; -90; 23; 20
52; -85; 13; 16
53; -89; 15; 10
54; -89; 9; 21
55; -89; 13; 15
56; -84; 12; 19
57; -89; 11; 14
58; -88; 15; 14
59; -87; 16; 14
60; -89; 15; 11
61; -86; 18; 17
62; -86; 15; 14
63; -89; 18; 17
64; -85; 18; 15
65; -86; 6; 15
66; -86; 16; 12
67; -90; 13; 15
68; -83; 14; 16
69; -83; 13; 19
70; -85; 14; 15
71; -81; 12; 17
72; -88; 10; 5
73; -89; 13; 13
74; -79; 15; 17
75; -86; 21; 13
76; -88; 12; 18
77; -88; 14; 17
78; -89; 6; 14
79; -88; 13; 17
80; -83; 8; 16
81; -87; 10; 20
82; -87; 2; 19
83; -89; 17; 16
84; -84; 12; 8
85; -90; 15; 14
86; -86; 15; 12
87; -85; 11; 18
88; -80; 11; 15
89; -83; 18; 22
90; -83; 10; 15
91; -84; 14; 23
92; -90; 13; 22
93; -83; 12; 10
94; -81; 17; 18
95; -87; 14; 10
96; -90; 14; 13
97; -87; 18; 11
98; -87; 15; 16
99; -87; 15; 15
100; -84; 8; 18
101; -82; 13; 14
102; -86; 20; 19
103; -91; 15; 17
104; -88; 9; 11
105; -81; 16; 17
106; -91; 15; 21
107; -86; 13; 15
108; -89; 13; 19
109; -89; 16; 20
110; -84; 12; 8
111; -89; 20; 21
112; -89; 14; 17
113; -87; 19; 16
114; -88; 15; 18
115; -87; 9; 14
116; -86; 14; 11
117; -85; 14; 13
118; -82; 17; 19
119; -85; 13; 22
120; -85; 18; 16
121; -83; 13; 18
122; -84; 9; 18
123; -85; 16; 16
124; -80; 22; 14
125; -88; 19; 13
126; -90; 17; 11
127; -87; 14; 18
128; -84; 13; 15
129; -84; 15; 17
130; -90; 8; 10
131; -83; 8; 8
132; -85; 13; 19
133; -90; 10; 15
134; -86; 10; 20
135; -86; 17; 17
136; -86; 16; 13
137; -86; 13; 15
138; -90; 12; 15
139; -82; 16; 18
140; -87; 13; 14
141; -88; 12; 13
142; -94; 15; 17
143; -92; 19; 16
144; -89; 15; 17
145; -89; 20; 21
146; -90; 13; 12
147; -87; 19; 15
148; -86; 6; 19
149; -84; 14; 11
150; -83; 16; 18
151; -84; 15; 13
152; -84; 13; 16
153; -84; 16; 18
154; -89; 11; 15
155; -90; 16; 14
156; -84; 22; 12
157; -85; 20; 16
158; -90; 17; 19
159; -82; 13; 12
160; -86; 12; 12
161; -92; 15; 15
162; -82; 11; 13
163; -91; 16; 14
164; -84; 9; 13
165; -88; 16; 11
166; -85; 14; 21
167; -89; 17; 10
168; -78; 7; 18
169; -86; 15; 16
170; -87; 13; 13
171; -80; 14; 17
172; -92; 16; 18
173; -86; 12; 9
174; -86; 11; 22
175; -91; 14; 13
176; -88; 11; 13
177; -87; 15; 11
178; -87; 17; 19
179; -88; 14; 17
180; -84; 18; 13
181; -82; 9; 21
182; -88; 14; 19
183; -95; 17; 15
184; -87; 18; 20
185; -88; 12; 15
186; -87; 12; 13
187; -87; 12; 19
188; -85; 10; 14
189; -91; 23; 10
190; -84; 11; 14
191; -85; 12; 18
192; -80; 16; 16
193; -91; 15; 19
194; -85; 16; 15
195; -84; 18; 17
196; -81; 19; 14
197; -77; 15; 18
198; -91; 11; 16
199; -92; 7; 18
200; -90; 13; 16
201; -85; 14; 20
202; -78; 9; 14
203; -85; 7; 16
204; -88; 14; 10
205; -83; 11; 18
206; -88; 13; 15
207; -88; 18; 12
208; -87; 9; 17
209; -87; 14; 19
210; -80; 11; 10
211; -86; 12; 14
212; -85; 16; 13
213; -83; 14; 20
214; -88; 16; 17
215; -85; 16; 17
216; -81; 19; 18
217; -87; 19; 19
218; -89; 6; 11
219; -89; 20; 17
220; -84; 17; 15
221; -85; 18; 16
222; -89; 11; 16
223; -87; 25; 13
224; -86; 16; 13
225; -88; 16; 14
226; -86; 9; 15
227; -89; 14; 20
228; -86; 15; 11
229; -88; 15; 15
230; -86; 3; 17
231; -88; 8; 17
232; -88; 13; 22
233; -82; 17; 12
234; -85; 16; 15
235; -86; 11; 18
236; -89; 13; 18
237; -86; 20; 12
238; -93; 17; 19
239; -85; 10; 11
240; -84; 14; 13
241; -84; 23; 20
242; -87; 12; 17
243; -81; 11; 13
244; -93; 13; 22
245; -88; 8; 16
246; -85; 17; 19
247; -83; 13; 16
248; -87; 16; 16
249; -84; 12; 14
250; -83; 14; 18
251; -89; 9; 12
252; -86; 11; 14
253; -87; 21; 15
254; -80; 7; 17
255; -84; 11; 12
256; -80; 12; 15
257; -88; 16; 14
258; -84; 22; 14
259; -87; 19; 12
260; -88; 13; 12
261; -87; 16; 13
262; -86; 10; 20
263; -90; 13; 14
264; -90; 16; 10
265; -83; 10; 13
266; -90; 9; 14
267; -87; 11; 20
268; -83; 9; 16
269; -89; 14; 15
270; -90; 13; 17
271; -86; 17; 16
272; -83; 17; 12
273; -90; 16; 16
274; -85; 18; 13
275; -85; 13; 14
276; -83; 11; 11
277; -84; 10; 13
278; -83; 18; 16
279; -83; 8; 16
280; -81; 11; 18
281; -83; 18; 15
282; -86; 15; 14
283; -90; 15; 11
284; -81; 8; 11
285; -96; 19; 16
286; -83; 16; 13
287; -87; 17; 14
288; -87; 6; 16
289; -88; 14; 8
290; -82; 15; 15
291; -86; 9; 16
292; -82; 12; 12
293; -89; 20; 22
294; -90; 11; 15
295; -88; 23; 16
296; -86; 11; 14
297; -89; 8; 17
298; -83; 21; 13
299; -90; 14; 11
300; -85; 15; 26
301; -86; 13; 13
302; -85; 15; 15
303; -86; 6; 10
304; -86; 11; 15
305; -89; 15; 18
306; -95; 12; 15
307; -92; 13; 12
308; -92; 2; 18
309; -80; 15; 15
310; -86; 7; 16
311; -89; 16; 18
312; -82; 14; 13
313; -89; 12; 21
314; -85; 17; 23
315; -90; 17; 14
316; -85; 24; 14
317; -87; 12; 19
318; -88; 15; 19
319; -88; 14; 16
320; -85; 12; 16
321; -85; 17; 14
322; -82; 16; 13
323; -89; 9; 17
324; -89; 16; 11
325; -90; 16; 18
326; -89; 24; 17
327; -89; 6; 14
328; -93; 14; 17
329; -80; 11; 19
330; -88; 10; 18
331; -86; 12; 16
332; -92; 13; 12
333; -87; 16; 17
334; -86; 19; 16
335; -78; 13; 15
336; -88; 6; 18
337; -82; 16; 19
338; -89; 14; 16
339; -82; 13; 13
340; -91; 15; 11
341; -81; 15; 19
342; -88; 15; 13
343; -84; 16; 12
344; -85; 17; 21
345; -87; 14; 14
346; -86; 16; 15
347; -87; 14; 17
348; -83; 12; 14
349; -87; 20; 15
350; -83; 16; 20
351; -90; 12; 15
352; -89; 14; 13
353; -86; -9; 15
354; -85; 15; 17
355; -86; 12; 12
356; -88; 12; 13
357; -85; 11; 19
358; -84; 19; 19
359; -84; 13; 14
360; -80; 13; 9
361; -87; 13; 18
362; -88; 14; 14
363; -84; 11; 17
364; -92; 14; 6
365; -82; 19; 13
366; -85; 16; 17
367; -81; 16; 10
368; -83; 13; 15
369; -90; 8; 10
370; -85; 15; 11
371; -89; 17; 15
372; -85; 12; 15
373; -93; 17; 20
374; -87; 16; 18
375; -86; 21; 16
376; -82; 13; 15
377; -89; 11; 14
378; -89; 8; 17
379; -87; 20; 15
380; -81; 14; 9
381; -85; 18; 17
382; -80; 18; 12
383; -86; 13; 12
384; -83; 18; 11
385; -84; 17; 14
386; -95; 17; 16
387; -82; 19; 19
388; -90; 11; 19
389; -88; 17; 11
390; -89; 9; 14
391; -86; 9; 11
392; -79; 11; 16
393; -95; 18; 17
394; -88; 11; 15
395; -81; 15; 17
396; -88; 13; 14
397; -82; 18; 15
398; -86; 13; 18
399; -85; 15; 19
400; -93; 14; 26
401; -88; 5; 13
402; -87; 18; 13
403; -83; 6; 12
404; -89; 14; 12
405; -87; 17; 14
406; -82; 10; 19
407; -89; 2; 17
408; -88; 8; 17
409; -96; 13; 9
410; -83; 12; 18
411; -80; 7; 13
412; -85; 13; 17
413; -85; 21; 15
414; -85; 13; 12
415; -92; 14; 18
416; -89; 10; 13
