t; gX; gY; gZ
0; -84; 13; 20
1; -82; 15; 17
2; -90; 14; 16
3; -83; 10; 17
4; -92; 15; 16
5; -90; 15; 16
6; -86; 8; 12
7; -83; 11; 10
8; -82; 11; 16
9; -88; 14; 9
10; -85; 9; 15
11; -86; 16; 16
12; -91; 14; 15
13; -86; 14; 17
14; -90; 12; 17
15; -82; 16; 12
16; -85; 7; 13
17; -88; 16; 15
18; -88; 13; 11
19; -97; 16; 13
20; -84; 10; 12
21; -83; 14; 18
22; -89; 15; 14
23; -87; 14; 13
24; -79; 9; 13
25; -90; 8; 14
26; -86; 16; 19
27; -91; 12; 13
28; -81; 9; 16
29; -86; 13; 14
30; -83; 21; 15
31; -91; 16; 15
32; -86; 13; 17
33; -86; 15; 14
34; -83; 11; 17
35; -89; 12; 15
36; -86; 18; 19
37; -94; 16; 14
38; -89; 12; 15
39; -85; 15; 15
40; -84; 9; 14
41; -84; 13; 14
42; -85; 13; 15
43; -86; 11; 11
44; -87; 11; 14
45; -82; 13; 14
46; -86; 8; 13
47; -85; 13; 17
48; -88; 15; 18
49; -87; 0; 11
50; -85; 14; 9
51; -89; 14; 12
52; -89; 10; 17
53; -85; 13; 18
54; -90; 10; 15
55; -92; 16; 15
56; -90; 14; 13
57; -81; 8; 18
58; -86; 15; 13
59; -83; 18; 16
60; -84; 12; 14
61; -85; 14; 13
62; -77; 16; 16
63; -86; 9; 19
64; -83; 10; 14
65; -89; 18; 15
66; -91; 16; 9
67; -94; 12; 14
68; -86; 16; 12
69; -88; 15; 16
70; -87; 16; 16
71; -83; 16; 11
72; -83; 14; 14
73; -87; 12; 13
74; -88; 15; 19
75; -85; 18; 12
76; -85; 13; 13
77; -84; 12; 19
78; -82; 23; 11
79; -83; 10; 15
80; -85; 13; 17
81; -85; 19; 21
82; -87; 12; 13
83; -84; 8; 13
84; -87; 10; 14
85; -89; 15; 14
86; -88; 16; 12
87; -85; 17; 12
88; -85; 14; 15
89; -86; 12; 13
90; -86; 16; 16
91; -84; 10; 15
92; -83; 11; 15
93; -88; 14; 16
94; -83; 9; 20
95; -85; 9; 16
96; -88; 9; 18
97; -86; 14; 17
98; -80; 12; 8
99; -87; 16; 11
100; -81; 15; 13
101; -85; 15; 14
102; -87; 13; 17
103; -84; 16; 14
104; -80; 12; 16
105; -86; 16; 16
106; -88; 18; 16
107; -87; 14; 7
108; -85; 12; 15
109; -84; 14; 22
110; -81; 14; 19
111; -87; 18; 15
112; -85; 14; 20
113; -88; 17; 13
114; -84; 9; 9
115; -84; 8; 10
116; -88; 12; 18
117; -84; 12; 10
118; -88; 16; 18
119; -86; 14; 19
120; -91; 10; 16
121; -91; 18; 15
122; -79; 6; 16
123; -87; 20; 13
124; -82; 10; 13
125; -84; 11; 8
126; -83; 16; 15
